date,inclination,azimuth
291.75,5.54,156.49
291.88,9.32,146.46
292.00,7.47,33.42
292.13,16.23,12.84
292.25,40.10,54.86
292.38,16.62,-96.85
292.50,7.54,-148.30
293.25,12.60,-84.12
293.38,10.23,149.88
293.50,39.67,93.67
293.63,12.63,168.52
293.75,11.18,-106.35
293.88,7.98,95.47
294.00,16.40,94.86
294.13,40.50,101.35
294.25,6.22,-2.85
294.38,26.35,136.26
294.50,14.94,131.18
294.63,22.80,94.09
294.75,4.12,-78.39
294.88,28.87,-27.28
295.00,33.59,109.79
295.13,36.34,99.70
295.25,23.20,91.68
295.38,25.99,-32.04
295.50,9.42,44.94
295.63,24.52,-50.89
295.75,11.13,111.36
295.88,15.36,-134.81
296.00,17.24,118.01
296.13,31.87,77.06
296.25,18.90,-44.37
296.38,12.84,-114.95
296.50,19.16,104.63
296.63,34.94,103.84
296.75,6.93,98.46
296.88,8.53,-152.33
297.00,6.12,123.19
297.13,9.27,-84.09
297.25,10.58,-30.48
297.38,19.95,-80.48
297.50,2.97,-126.08
297.63,23.44,121.31
297.75,12.97,142.20
297.88,23.99,-117.07
298.00,13.59,-58.80
298.13,13.58,93.01
298.25,35.91,87.28
298.38,13.14,-141.83
298.50,16.37,-84.35
298.63,27.13,114.02
298.75,44.05,104.55
298.88,20.88,110.92
300.00,12.48,114.79
300.13,37.89,85.93
300.25,14.03,-51.81
300.38,7.85,-172.30
300.50,36.64,-112.53
300.63,25.24,111.96
300.75,25.70,107.71
300.88,4.55,-26.08
301.00,25.45,-79.76
301.13,0.26,52.78
301.25,21.26,87.65
301.38,15.21,-90.66
301.50,28.77,-114.58
301.63,21.72,-106.14
301.75,17.58,85.56
301.88,23.49,105.29
302.00,34.00,-102.41
302.13,24.73,-63.10
302.25,17.24,-39.91
302.38,17.10,136.74
302.50,9.38,-139.28
302.63,22.30,-110.29
302.75,49.80,85.12
302.88,36.84,109.27
303.00,24.53,116.77
303.13,15.37,-125.27
303.25,20.55,91.14
303.38,12.04,47.60
303.50,11.57,-167.75
303.63,26.78,-113.90
303.88,39.03,99.90
304.00,11.83,118.96
304.13,12.44,-145.53
304.25,10.21,-99.16
304.38,6.80,-42.90
304.50,0.40,-61.80
304.63,4.19,-89.83
304.75,6.72,125.85
304.88,14.03,107.69
305.00,24.68,96.71
305.13,3.26,-173.16
305.25,7.48,129.78
305.38,7.56,131.01
305.50,15.02,118.59
305.75,22.38,131.51
305.88,28.81,78.77
306.00,22.16,80.69
306.13,8.72,79.31
306.25,3.83,-33.22
306.38,18.34,107.92
306.50,1.85,130.01
306.63,26.24,118.36
306.75,8.54,-176.21
306.88,20.74,124.35
307.00,21.00,138.62
307.13,41.58,98.82
307.25,15.00,132.31
307.38,24.78,112.35
307.50,12.84,97.89
307.63,3.68,152.96
307.75,16.93,123.05
307.88,5.94,84.24
308.00,37.46,83.51
308.13,13.65,168.90
308.25,20.97,-103.40
308.38,46.20,92.57
308.50,42.68,88.36
308.63,29.10,56.23
308.75,12.20,-165.53
308.88,5.96,147.68
309.00,6.71,170.08
309.13,10.61,103.69
309.25,27.65,-84.58
309.38,0.87,-105.90
309.50,5.21,175.39
309.63,18.93,84.13
309.75,1.93,-77.63
309.88,7.10,-102.29
310.00,12.27,147.14
310.13,5.06,133.33
310.25,6.54,56.09
310.38,7.38,120.04
310.50,8.34,113.36
310.63,4.40,115.91
310.75,8.45,47.85
310.88,9.84,101.88
311.00,30.31,-120.57
311.13,25.20,68.50
311.25,15.42,-85.60
311.38,5.94,142.36
311.50,6.61,146.68
311.63,40.96,99.25
311.75,43.97,100.74
311.88,32.78,-51.09
312.00,12.90,122.15
312.13,35.53,92.46
312.25,37.79,98.67
312.38,23.95,102.76
312.50,15.08,-138.67
312.63,10.38,-3.68
312.75,11.41,30.04
312.88,6.52,171.05
313.00,13.49,79.40
313.13,23.83,86.77
313.25,14.97,-96.17
313.63,23.63,87.97
313.75,42.01,100.92
313.88,34.08,-120.72
314.00,30.57,-112.09
314.13,3.26,-38.65
314.25,42.79,80.58
314.38,43.90,-12.14
314.50,11.67,-120.89
314.63,4.70,-28.40
314.75,52.54,107.91
314.88,36.46,87.62
315.00,3.93,79.02
315.13,21.35,34.80
315.25,4.59,110.81
315.38,14.44,-104.72
315.50,18.22,-78.46
315.63,34.37,112.31
315.75,38.25,93.01
315.88,4.17,-122.69
316.00,40.75,-42.56
316.13,12.46,0.27
316.25,42.82,83.02
316.38,37.12,4.88
316.50,12.51,-86.80
316.63,6.35,-110.85
316.75,47.19,95.76
316.88,38.95,93.36
317.00,7.20,-159.03
317.13,16.78,124.91
317.25,36.01,95.53
317.38,19.08,95.39
317.50,18.59,-79.68
317.63,14.15,132.21
317.75,11.70,112.14
317.88,15.44,-69.08
332.00,1.96,53.92
332.13,35.28,-56.41
332.25,40.90,71.34
332.38,16.76,-38.59
332.50,10.78,2.95
332.63,11.44,-130.51
332.75,16.56,109.41
332.88,46.54,88.41
333.00,4.43,81.02
333.13,8.94,75.59
333.25,30.60,106.99
333.38,6.61,130.79
333.50,21.50,121.92
333.63,3.40,-154.81
333.75,5.49,163.36
333.88,1.86,-112.20
334.00,4.22,135.48
334.13,3.62,131.20
334.25,14.23,125.28
334.38,8.17,61.88
334.50,0.98,-108.98
334.63,20.18,108.07
334.75,27.27,86.81
334.88,28.28,90.87
335.00,41.08,90.47
335.13,32.35,98.86
335.25,19.60,-16.87
335.38,38.17,78.24
335.50,37.61,-39.90
335.63,15.07,94.59
335.75,11.71,128.34
335.88,10.80,110.95
336.00,41.55,79.48
336.13,20.38,97.28
336.25,14.54,-72.51
336.38,20.19,111.25
336.50,19.48,114.88
336.63,22.79,116.46
336.75,10.55,-94.13
336.88,16.06,117.43
337.00,4.13,-168.32
337.13,14.66,106.13
337.25,15.02,-50.52
337.38,17.47,121.81
337.50,7.89,19.63
337.63,36.43,90.38
337.75,10.09,-73.61
337.88,7.02,131.87
338.00,16.48,116.68
338.13,29.54,108.15
338.25,11.94,-108.81
338.38,23.66,-51.71
338.50,35.67,105.31
338.63,41.25,89.87
338.75,37.62,86.07
338.88,19.30,112.06
339.00,35.67,94.02
339.13,42.09,91.31
339.25,25.27,-45.34
339.38,12.01,113.65
339.50,22.52,112.82
339.75,32.15,78.13
339.88,11.08,108.51
340.00,0.64,-7.93
340.13,38.00,73.24
340.25,16.47,121.60
340.38,24.16,-120.68
340.50,20.53,119.59
340.63,24.56,121.03
340.75,11.43,139.57
340.88,18.41,-58.12
341.00,6.66,-174.60
341.13,35.11,98.97
341.25,26.72,107.85
341.38,11.95,-114.38
341.50,10.65,131.35
341.63,36.15,108.17
341.75,38.19,101.40
341.88,11.17,109.07
342.00,20.42,-110.25
342.13,27.18,86.81
342.25,30.77,84.81
342.50,15.87,138.08
342.63,18.67,88.50
342.75,37.65,81.47
342.88,31.73,108.74
343.00,16.84,-20.97
343.13,9.02,109.92
343.25,27.32,75.67
343.38,17.49,-92.11
343.50,2.97,-88.95
343.63,18.33,127.87
343.75,29.97,88.49
343.88,29.76,109.58
344.00,7.69,-36.56
344.13,22.84,101.59
344.25,21.42,81.12
344.38,13.22,-97.43
344.50,18.34,-97.97
344.63,11.82,95.17
344.75,44.09,111.13
344.88,11.39,115.16
345.00,14.07,-76.97
345.13,15.39,-78.68
345.25,33.45,79.46
345.38,29.09,61.96
345.50,12.72,-117.02
345.63,13.93,115.64
345.75,32.24,109.94
345.88,32.53,84.41
346.00,36.63,-50.27
346.13,11.25,126.31
346.25,34.34,87.21
346.38,5.36,178.89
346.50,38.21,-54.80
346.63,9.05,138.03
346.75,32.83,98.28
346.88,40.58,73.22
347.00,4.74,-139.57
347.13,9.67,-76.64
347.25,33.12,88.65
347.38,31.06,80.87
347.50,14.79,-148.45
347.63,6.37,-56.77
347.75,21.32,107.18
347.88,41.72,106.09
348.00,32.03,115.90
348.13,1.64,-38.08
348.25,37.07,74.99
348.38,43.83,83.37
348.50,25.89,-61.27
348.63,20.82,-49.21
348.75,44.90,77.76
348.88,24.36,96.34
349.00,33.60,107.58
349.13,3.82,172.79
349.25,16.17,140.80
349.38,28.71,75.07
349.50,13.79,93.79
349.63,25.93,-67.57
349.75,9.46,155.34
349.88,41.23,106.39
350.00,44.25,81.93
350.13,7.83,-106.96
350.25,9.60,104.74
350.38,1.32,13.54
350.50,33.83,73.90
350.63,8.44,109.59
350.75,9.72,115.95
350.88,19.15,107.09
351.00,36.77,94.71
351.13,17.29,-91.41
351.25,9.09,79.86
351.38,29.44,96.85
351.50,20.05,129.24
351.63,13.69,-63.01
351.75,13.06,-107.56
351.88,12.43,124.80
352.00,33.78,85.89
352.13,3.24,91.85
352.25,8.64,-70.34
352.38,29.58,112.14
352.50,37.30,86.56
352.63,27.98,115.62
352.75,22.92,105.02
352.88,6.18,98.14
353.00,31.42,67.33
353.13,38.89,74.39
353.25,2.67,-168.93
353.38,22.20,90.42
353.50,40.92,81.04
353.63,30.64,104.28
353.75,39.64,88.18
353.88,1.04,90.99
354.00,26.28,74.10
354.13,17.74,-126.58
354.25,10.83,-122.40
354.38,7.04,-127.36
354.50,38.89,76.62
354.63,39.42,89.24
354.75,33.68,105.64
354.88,13.99,-108.31
355.00,35.51,79.85
355.13,40.23,98.00
355.25,11.57,-45.35
355.38,7.29,-81.07
355.50,13.44,137.43
355.63,12.73,107.76
356.13,0.57,1.23
356.25,7.98,75.22
356.38,3.39,6.09
356.50,10.37,-76.95
356.63,36.61,102.55
356.75,46.03,101.85
356.88,7.50,56.27
357.00,7.29,-86.35
357.13,17.86,98.99
357.25,36.91,83.58
357.38,17.19,113.60
357.50,10.31,-67.03
357.63,37.97,101.31
357.75,47.29,111.12
357.88,39.26,86.04
358.00,11.23,-118.46
358.13,5.68,-22.62
358.25,40.12,8.81
358.38,6.39,-86.62
358.50,19.78,-109.22
358.63,10.27,124.94
358.75,25.52,126.44
358.88,37.38,102.80
359.00,29.76,-51.22
359.13,14.07,-15.19
359.25,26.64,141.48
359.38,12.08,-7.73
359.50,16.90,-112.50
359.63,32.74,-111.35
359.75,3.90,40.32
359.88,32.71,119.51
360.00,35.91,-99.98
360.13,43.14,-65.52
360.25,26.08,96.58
360.38,23.31,110.95
360.50,19.40,-117.71
360.63,29.83,-73.19
360.75,24.56,108.85
360.88,44.67,100.99
361.00,10.25,109.52
361.13,31.66,-12.68
361.25,29.41,107.36
361.38,30.98,87.42
361.50,6.31,96.79
361.63,11.51,-22.73
361.75,33.17,81.05
361.88,36.06,60.05
362.00,30.19,113.44
362.13,3.84,73.35
362.25,35.70,81.14
362.38,43.15,84.31
362.50,16.27,-70.48
362.63,7.62,-113.77
362.75,7.41,163.26
362.88,39.49,108.46
363.00,5.37,133.84
363.13,6.65,-49.32
363.25,5.00,138.83
363.38,34.31,98.04
363.50,40.75,88.12
363.63,5.42,72.29
363.75,12.49,-2.36
363.88,31.67,98.73
364.00,2.64,131.12
364.13,10.54,-92.91
364.25,6.16,-4.53
364.38,34.15,85.22
364.50,6.44,105.38
364.63,2.31,152.99
364.75,31.49,-129.57
364.88,37.15,80.55
