year,month,day,hour,minute,seconds,jday,wv_height,wnd_dir,wnd_spd,wnd_gspd,atm_prs,air_temp
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.5000000e+01,1.0000000e+01,0.0000000e+00,2.7263194e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.5000000e+01,3.0000000e+01,0.0000000e+00,2.7264583e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.5000000e+01,5.0000000e+01,0.0000000e+00,2.7265972e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.6000000e+01,1.0000000e+01,0.0000000e+00,2.7267361e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.6000000e+01,3.0000000e+01,0.0000000e+00,2.7268750e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.6000000e+01,5.0000000e+01,0.0000000e+00,2.7270139e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.7000000e+01,1.0000000e+01,0.0000000e+00,2.7271528e+02, NaN, NaN,0.0000000e+00, NaN, NaN,6.1000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.7000000e+01,3.0000000e+01,0.0000000e+00,2.7272917e+02, NaN, NaN,0.0000000e+00, NaN, NaN,6.3000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.8000000e+01,1.0000000e+01,0.0000000e+00,2.7275694e+02, NaN, NaN,0.0000000e+00, NaN, NaN,6.4000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.8000000e+01,1.1000000e+01,0.0000000e+00,2.7275764e+02, NaN,3.0000000e+02,3.0000000e+00, NaN, NaN,6.4000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.8000000e+01,2.8000000e+01,0.0000000e+00,2.7276944e+02, NaN,3.2000000e+02,3.0000000e+00, NaN, NaN,6.6000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.8000000e+01,5.0000000e+01,0.0000000e+00,2.7278472e+02, NaN,2.9000000e+02,5.0000000e+00, NaN, NaN,6.8000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.9000000e+01,2.9000000e+01,0.0000000e+00,2.7281181e+02, NaN,3.2000000e+02,5.0000000e+00, NaN, NaN,7.0000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.9000000e+01,3.2000000e+01,0.0000000e+00,2.7281389e+02, NaN,3.3000000e+02,5.0000000e+00, NaN, NaN,7.0000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,2.0000000e+01,1.0000000e+01,0.0000000e+00,2.7284028e+02, NaN, NaN,0.0000000e+00, NaN, NaN,7.2000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,2.0000000e+01,3.0000000e+01,0.0000000e+00,2.7285417e+02, NaN,3.1000000e+02,3.0000000e+00, NaN, NaN,7.3000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,2.0000000e+01,5.0000000e+01,0.0000000e+00,2.7286806e+02, NaN,2.5000000e+02,6.0000000e+00, NaN, NaN,7.3000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,2.1000000e+01,1.0000000e+01,0.0000000e+00,2.7288194e+02, NaN,2.7000000e+02,5.0000000e+00, NaN, NaN,7.3000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,2.1000000e+01,5.0000000e+01,0.0000000e+00,2.7290972e+02, NaN,3.3000000e+02,8.0000000e+00, NaN, NaN,7.2000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,2.2000000e+01,1.0000000e+01,0.0000000e+00,2.7292361e+02, NaN,3.3000000e+02,8.0000000e+00, NaN, NaN,7.2000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,2.2000000e+01,1.2000000e+01,0.0000000e+00,2.7292500e+02, NaN,3.4000000e+02,6.0000000e+00, NaN, NaN,7.2000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,2.2000000e+01,3.0000000e+01,0.0000000e+00,2.7293750e+02, NaN,3.3000000e+02,6.0000000e+00, NaN, NaN,7.2000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,2.2000000e+01,5.0000000e+01,0.0000000e+00,2.7295139e+02, NaN,3.4000000e+02,7.0000000e+00, NaN, NaN,7.3000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,2.3000000e+01,1.0000000e+01,0.0000000e+00,2.7296528e+02, NaN,3.6000000e+02,5.0000000e+00, NaN, NaN,7.3000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,2.3000000e+01,3.0000000e+01,0.0000000e+00,2.7297917e+02, NaN,3.3000000e+02,6.0000000e+00, NaN, NaN,7.2000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,2.3000000e+01,5.0000000e+01,0.0000000e+00,2.7299306e+02, NaN,3.2000000e+02,8.0000000e+00, NaN, NaN,7.2000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,0.0000000e+00,1.0000000e+01,0.0000000e+00,2.7300694e+02, NaN,3.4000000e+02,8.0000000e+00, NaN, NaN,7.0000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,0.0000000e+00,3.0000000e+01,0.0000000e+00,2.7302083e+02, NaN,3.2000000e+02,1.4000000e+01, NaN, NaN,6.8000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,0.0000000e+00,5.0000000e+01,0.0000000e+00,2.7303472e+02, NaN,3.3000000e+02,9.0000000e+00, NaN, NaN,6.6000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.0000000e+00,1.0000000e+01,0.0000000e+00,2.7304861e+02, NaN,3.3000000e+02,8.0000000e+00, NaN, NaN,6.4000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.0000000e+00,3.0000000e+01,0.0000000e+00,2.7306250e+02, NaN,3.5000000e+02,6.0000000e+00, NaN, NaN,6.4000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,1.0000000e+00,5.0000000e+01,0.0000000e+00,2.7307639e+02, NaN,1.0000000e+01,5.0000000e+00, NaN, NaN,6.3000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,2.0000000e+00,1.0000000e+01,0.0000000e+00,2.7309028e+02, NaN,5.0000000e+01,6.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,2.0000000e+00,3.0000000e+01,0.0000000e+00,2.7310417e+02, NaN,3.0000000e+01,6.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,2.0000000e+00,5.0000000e+01,0.0000000e+00,2.7311806e+02, NaN,2.0000000e+01,3.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,3.0000000e+00,1.0000000e+01,0.0000000e+00,2.7313194e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,3.0000000e+00,3.0000000e+01,0.0000000e+00,2.7314583e+02, NaN,3.0000000e+01,3.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,3.0000000e+00,5.0000000e+01,0.0000000e+00,2.7315972e+02, NaN,3.0000000e+01,3.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,4.0000000e+00,1.0000000e+01,0.0000000e+00,2.7317361e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,4.0000000e+00,3.0000000e+01,0.0000000e+00,2.7318750e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,4.0000000e+00,5.0000000e+01,0.0000000e+00,2.7320139e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,5.0000000e+00,1.0000000e+01,0.0000000e+00,2.7321528e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,5.0000000e+00,3.0000000e+01,0.0000000e+00,2.7322917e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,5.0000000e+00,5.0000000e+01,0.0000000e+00,2.7324306e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,6.0000000e+00,1.0000000e+01,0.0000000e+00,2.7325694e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,6.0000000e+00,3.0000000e+01,0.0000000e+00,2.7327083e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,6.0000000e+00,5.0000000e+01,0.0000000e+00,2.7328472e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,7.0000000e+00,1.0000000e+01,0.0000000e+00,2.7329861e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,7.0000000e+00,3.0000000e+01,0.0000000e+00,2.7331250e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,7.0000000e+00,5.0000000e+01,0.0000000e+00,2.7332639e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,3.0000000e+01,8.0000000e+00,1.0000000e+01,0.0000000e+00,2.7334028e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.4000000e+01
