283.51 18.69 -121.34
283.63 21.29 -102.78
283.63 29.62 -119.97
283.63 28.28 -109.23
283.75 25.28 117.03
283.75 33.43 117.96
283.76 26.84 110.69
283.88 37.52 81.74
283.88 38.83 82.99
283.88 32.05 89.65
284.00 33.10 84.86
284.00 37.28 97.89
284.01 37.74 87.20
284.13 25.92 -1.85
284.13 41.59 -1.77
284.13 17.97 5.36
284.25 9.06 85.42
284.25 4.60 107.85
284.26 4.29 67.99
284.38 30.95 96.17
284.38 34.68 86.49
284.38 42.78 86.63
284.50 9.15 79.59
284.50 8.62 103.24
284.51 5.94 112.16
284.63 5.65 -15.78
284.63 4.80 -31.01
284.63 2.75 -49.66
284.75 11.40 82.85
284.75 14.38 94.47
284.76 8.84 52.38
284.88 30.49 105.57
284.88 31.74 104.26
284.88 32.15 105.27
285.00 40.56 75.66
285.00 40.16 84.05
285.01 41.33 72.06
285.13 7.65 101.04
285.13 7.12 97.49
285.13 2.90 123.94
285.25 27.81 -18.62
285.25 28.58 -8.22
285.26 29.73 -14.43
285.38 47.62 -15.90
285.38 24.87 8.39
285.38 31.07 16.85
285.50 14.37 -113.56
285.50 12.35 -142.34
285.51 16.57 -160.38
285.63 28.93 -36.06
285.63 32.61 -44.54
285.63 22.07 -37.24
285.75 7.22 -60.78
285.75 7.36 -52.39
285.76 11.41 -36.15
285.88 22.82 110.88
285.88 22.18 110.37
285.88 25.65 114.68
286.00 2.07 91.34
286.00 6.74 27.88
286.01 2.67 -30.17
286.13 30.21 125.95
286.13 28.47 119.19
286.13 23.20 122.61
286.25 5.64 -76.29
286.25 2.32 120.79
286.26 10.78 -175.71
286.38 5.10 -124.34
286.38 3.86 -164.98
286.38 5.17 -145.15
286.50 32.67 93.78
286.50 28.60 103.65
286.51 32.36 96.07
286.63 7.94 -111.82
286.63 7.41 -96.34
286.63 7.63 -93.09
286.75 2.23 176.40
286.75 1.90 -145.80
286.76 2.82 20.78
286.88 7.96 -12.91
286.88 10.33 -16.24
287.01 21.53 117.72
287.13 7.35 26.00
287.13 2.54 25.42
287.13 8.68 89.70
287.25 11.07 -124.61
287.25 15.76 -143.23
287.26 25.50 -142.93
287.38 16.49 -116.55
287.38 27.45 -129.90
287.38 28.86 -133.03
287.50 28.74 124.82
287.50 24.63 125.34
287.51 19.64 114.64
287.63 1.96 99.01
287.63 5.83 42.42
287.63 8.06 -9.48
287.75 2.82 -76.79
287.75 0.73 -120.64
287.76 1.83 134.30
287.88 1.06 -24.48
287.88 4.99 66.14
287.88 2.38 62.04
288.00 22.65 56.47
288.00 25.04 64.74
288.01 27.26 54.70
288.13 37.73 95.10
288.13 38.20 94.77
288.13 42.73 83.65
288.25 8.28 108.91
288.25 8.69 106.89
288.26 8.54 83.87
288.38 28.42 86.69
288.38 32.47 103.88
288.38 29.84 78.46
288.50 29.86 107.16
288.50 35.58 93.21
288.51 36.60 92.95
288.63 28.70 91.55
288.63 33.58 78.60
288.63 29.80 79.64
288.75 2.76 -55.01
288.75 5.87 -1.31
288.76 16.02 -0.37
288.88 3.73 -154.66
288.88 2.23 -143.30
288.88 7.77 -148.98
289.00 19.08 123.49
289.00 22.41 119.39
289.01 16.05 124.33
289.13 20.06 130.25
289.13 20.16 122.95
289.13 26.98 116.35
289.25 3.44 -34.85
289.25 2.04 -119.04
289.26 1.49 -34.39
289.38 7.08 -34.77
289.38 13.97 -19.10
289.38 7.06 -41.81
289.50 12.55 93.97
289.50 22.67 111.26
289.51 19.53 91.13
289.63 34.03 104.86
289.63 30.24 94.09
289.63 26.24 93.96
289.75 15.42 -22.88
289.75 20.73 -34.85
289.76 27.91 -26.58
289.88 2.42 83.07
289.88 6.19 140.65
289.88 5.71 112.75
290.00 3.44 -74.22
290.00 5.84 -174.05
290.01 5.88 127.27
290.13 18.73 71.53
290.13 9.61 103.98
290.13 10.66 85.74
290.25 14.64 -93.83
290.25 16.00 -104.02
290.26 20.58 -115.33
290.38 6.91 -18.37
290.38 4.52 -43.50
290.38 14.04 -43.74
290.50 2.46 -43.34
290.50 2.62 66.77
290.51 5.23 129.27
290.63 27.33 99.88
290.63 33.32 95.39
290.63 31.97 76.14
290.88 0.93 -54.46
290.88 3.97 103.65
290.88 4.94 143.17
291.50 31.78 90.73
291.63 22.13 82.17
291.63 23.15 73.32
291.63 15.26 90.29
291.75 35.87 71.53
291.75 43.38 74.47
291.76 35.45 65.54
291.88 8.22 -63.89
291.88 8.15 -45.50
